# step cpu_mb gpu_mb
1045 1314.61 0.00
1046 1314.61 0.00
1047 1314.61 0.00
1048 1314.61 0.00
1049 1314.61 0.00
1050 1314.61 0.00
1051 1314.61 0.00
1052 1314.61 0.00
1053 1314.61 0.00
1054 1314.61 0.00
1055 1314.61 0.00
1056 1314.61 0.00
1057 1314.61 0.00
1058 1314.61 0.00
1059 1314.61 0.00
1060 1314.61 0.00
1061 1314.61 0.00
1062 1314.61 0.00
1063 1314.61 0.00
1064 1314.61 0.00
1065 1314.61 0.00
1066 1314.61 0.00
1067 1314.61 0.00
1068 1314.61 0.00
1069 1314.61 0.00
1070 1314.61 0.00
1071 1314.61 0.00
1072 1314.61 0.00
1073 1314.61 0.00
1074 1314.61 0.00
1075 1314.61 0.00
1076 1314.61 0.00
1077 1314.61 0.00
1078 1314.61 0.00
1079 1314.61 0.00
1080 1314.61 0.00
1081 1314.61 0.00
1082 1314.61 0.00
1083 1314.61 0.00
1084 1314.61 0.00
1085 1314.61 0.00
1086 1314.61 0.00
1087 1314.61 0.00
1088 1314.61 0.00
1089 1314.61 0.00
1090 1314.61 0.00
1091 1314.61 0.00
1092 1314.61 0.00
1093 1314.61 0.00
1094 1314.61 0.00
1095 1314.61 0.00
1096 1314.61 0.00
1097 1314.61 0.00
1098 1314.61 0.00
1099 1314.61 0.00
1100 1314.61 0.00
1101 1314.61 0.00
1102 1314.61 0.00
1103 1314.61 0.00
1104 1314.61 0.00
1105 1314.61 0.00
1106 1314.61 0.00
1107 1314.61 0.00
1108 1314.61 0.00
1109 1314.61 0.00
1110 1314.61 0.00
1111 1314.61 0.00
1112 1314.61 0.00
1113 1314.61 0.00
1114 1314.61 0.00
1115 1314.61 0.00
1116 1314.61 0.00
1117 1314.61 0.00
1118 1314.61 0.00
1119 1314.61 0.00
1120 1314.61 0.00
1121 1314.61 0.00
1122 1314.61 0.00
1123 1314.61 0.00
1124 1314.61 0.00
1125 1314.61 0.00
1126 1314.61 0.00
1127 1314.61 0.00
1128 1314.61 0.00
1129 1314.61 0.00
1130 1314.61 0.00
1131 1314.61 0.00
1132 1314.61 0.00
1133 1314.61 0.00
1134 1314.61 0.00
1135 1314.61 0.00
1136 1314.61 0.00
1137 1314.61 0.00
1138 1314.61 0.00
1139 1314.61 0.00
1140 1314.61 0.00
1141 1314.61 0.00
1142 1314.61 0.00
1143 1314.61 0.00
1144 1314.61 0.00
1145 1314.61 0.00
1146 1314.61 0.00
1147 1314.61 0.00
1148 1314.61 0.00
1149 1314.61 0.00
1150 1314.61 0.00
1151 1314.61 0.00
1152 1314.61 0.00
1153 1314.61 0.00
1154 1314.61 0.00
1155 1314.61 0.00
1156 1314.61 0.00
1157 1314.61 0.00
1158 1314.61 0.00
1159 1314.61 0.00
1160 1314.61 0.00
1161 1314.61 0.00
1162 1314.61 0.00
1163 1314.61 0.00
1164 1314.61 0.00
1165 1314.61 0.00
1166 1314.61 0.00
1167 1314.61 0.00
1168 1314.61 0.00
1169 1314.61 0.00
